scenario,gap_distance_m,core_habitat_area_km2,original_patch_count,network_component_count,isolated_patch_count,isolated_patch_percentage,mean_patches_per_component,mean_component_area_km2,largest_component_area_km2,largest_component_habitat_percent
baseline_2024,0,54.408,2570,2570,2570,100.0,1.0,0.021,13.093,24.06
baseline_2024,100,54.408,2570,1190,816,31.75,2.16,0.046,13.941,25.62
baseline_2024,250,54.408,2570,570,325,12.65,4.509,0.095,15.329,28.17
baseline_2024,500,54.408,2570,202,88,3.42,12.723,0.269,28.848,53.02
baseline_2024,1000,54.408,2570,17,8,0.31,151.176,3.2,53.477,98.29
dispersed,0,66.063,19058,19058,19058,100.0,1.0,0.003,13.101,19.83
dispersed,100,66.063,19058,6526,3307,17.35,2.92,0.01,14.009,21.21
dispersed,250,66.063,19058,67,37,0.19,284.448,0.986,65.681,99.42
dispersed,500,66.063,19058,4,3,0.02,4764.5,16.516,66.059,99.99
dispersed,1000,66.063,19058,1,0,0.0,19058.0,66.063,66.063,100.0
patch_enlargement,0,66.063,2290,2290,2290,100.0,1.0,0.029,13.418,20.31
patch_enlargement,100,66.063,2290,1098,770,33.62,2.086,0.06,14.372,21.75
patch_enlargement,250,66.063,2290,508,295,12.88,4.508,0.13,24.098,36.48
patch_enlargement,500,66.063,2290,169,72,3.14,13.55,0.391,33.432,50.61
patch_enlargement,1000,66.063,2290,14,7,0.31,163.571,4.719,64.589,97.77
connectivity_focused,0,66.063,2546,2546,2546,100.0,1.0,0.026,14.749,22.33
connectivity_focused,100,66.063,2546,1156,792,31.11,2.202,0.057,15.747,23.84
connectivity_focused,250,66.063,2546,557,319,12.53,4.571,0.119,31.553,47.76
connectivity_focused,500,66.063,2546,199,86,3.38,12.794,0.332,35.37,53.54
connectivity_focused,1000,66.063,2546,17,8,0.31,149.765,3.886,65.133,98.59
integrated_low_matrix_pressure,0,66.063,2574,2574,2574,100.0,1.0,0.026,13.878,21.01
integrated_low_matrix_pressure,100,66.063,2574,1151,787,30.57,2.236,0.057,14.934,22.61
integrated_low_matrix_pressure,250,66.063,2574,550,318,12.35,4.68,0.12,29.246,44.27
integrated_low_matrix_pressure,500,66.063,2574,197,85,3.3,13.066,0.335,33.801,51.17
integrated_low_matrix_pressure,1000,66.063,2574,17,8,0.31,151.412,3.886,65.128,98.58
